Seq,tracer,source_catalog,object_label,ra_deg,dec_deg,x_arcmin,y_arcmin,HRV,Maj,Min,PA,source_candidate_id,new_candidate_id,candidate_id,cap30_postpv_id,postpv_class_final,science_tier_postpv,bb86_relation,bb86_primary_flag,origin,is_bb86,is_new,foreground_review_flag,has_video,video_path,video_name,contrast_joint_refit_png,summary_2dcg_png
1,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0002,11.286714549506646,41.6155540920828,27.148940601576303,20.808245524968356,-128.2564728566385,264.0,264.0,-45.0,17,7,7,CAP30_POSTPV_0002,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
2,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0003,10.99935105499478,41.31821113427335,14.189582704614885,2.9676680564010383,-264.3419321593875,220.0,220.0,-40.0,31,13,13,CAP30_POSTPV_0003,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
3,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0004,11.172711370890278,41.99152844759467,22.007689115926226,43.366706855680235,-132.3802746536915,264.0,264.0,-45.0,41,19,19,CAP30_POSTPV_0004,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
4,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0005,10.906838736364437,41.79024003242813,10.017513983621404,31.289401945687985,-173.6182926242215,264.0,237.6,25.0,56,25,25,CAP30_POSTPV_0005,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
5,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0006,11.621276194788155,41.98184927645207,42.236814261952745,42.78595658712419,-74.6470494949495,220.0,198.0,40.0,76,31,31,CAP30_POSTPV_0006,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
6,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0007,10.041545363122705,40.493331778274815,-29.00500183299894,-46.52509330351094,-536.5128507648855,303.6,303.6,-45.0,88,37,37,CAP30_POSTPV_0007,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
7,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0008,10.844977222253886,41.70922740274992,7.227718074546945,26.428644164995205,-177.74209442127452,264.0,264.0,45.0,108,43,43,CAP30_POSTPV_0008,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
8,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0010,11.268610504791337,42.03567682413096,26.332494534733936,46.01560944785774,-70.5232476978965,319.0,287.1,40.0,148,55,55,CAP30_POSTPV_0010,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
9,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0011,11.445835812162114,41.74865723699701,34.324902166462735,28.794434219820886,-124.1326710595855,303.6,303.6,-45.0,171,61,61,CAP30_POSTPV_0011,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
10,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0012,11.228707413846491,41.96183396498236,24.532967292668417,41.585037898941835,-74.6470494949495,343.2,343.2,-90.0,194,73,73,CAP30_POSTPV_0012,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
11,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0013,11.504904352199356,42.187893126036094,36.988742095378946,55.14858756216583,-70.5232476978965,366.85,330.165,60.0,212,79,79,CAP30_POSTPV_0013,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
