object_uid,tracer,source_catalog,display_label,hi_seq,ra_deg,dec_deg,x_arcmin,y_arcmin,major_arcsec,minor_arcsec,pa_deg,marker_size,has_video,notes,source_candidate_id,new_candidate_id,candidate_id,cap30_postpv_id,postpv_class_final,science_tier_postpv,bb86_relation,bb86_primary_flag,origin,is_bb86,is_new,foreground_review_flag,Maj_pc,PA_astro_deg,age_myr,mass_msun,luminosity,v9_final_score,v9_reject_reason,validation_png,e_bv,Min_pc,fuv_mag,v_center_kms,area_pc2,area_arcsec2,flux,nuv_mag,video_url,video_path,video_name,video_release_tag,v11_source_candidate_id,v11_match_sep_arcsec,v11_diagnostic_png,v11_plot_class,v11_passes_2dcg,v11_joint_2dcg_score,v11_final_Maj_pc,v11_final_Min_pc,v11_final_PA_astro_deg,v11_final_v_center_kms,flux_erg_cm2_s,luminosity_erg_s_at_690kpc,count_rate,detection_likelihood,hardness_hr1,hardness_hr2,hardness_hr3,hardness_hr4,source_class,band
HI_CAP30_0001,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0002,1.0,11.286714549506646,41.6155540920828,27.148940601576303,20.808245524968356,78.91878260869565,78.91878260869565,-45.0,12.43707417011909,False,CAP30 final science H I cavity catalogue.,17.0,7.0,7.0,CAP30_POSTPV_0002,postpv_keep_not_DF,science_keep_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI_CAP30_0002,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0003,2.0,10.99935105499478,41.31821113427335,14.189582704614885,2.9676680564010383,65.76565217391304,65.76565217391304,-40.0,11.353443453898448,False,CAP30 final science H I cavity catalogue.,31.0,13.0,13.0,CAP30_POSTPV_0003,postpv_keep_not_DF,science_keep_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI_CAP30_0003,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0004,3.0,11.172711370890278,41.99152844759467,22.007689115926226,43.366706855680235,78.91878260869565,78.91878260869565,-45.0,12.43707417011909,False,CAP30 final science H I cavity catalogue.,41.0,19.0,19.0,CAP30_POSTPV_0004,postpv_keep_not_DF,science_keep_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI_CAP30_0004,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0005,4.0,10.906838736364437,41.79024003242813,10.017513983621404,31.289401945687985,78.91878260869565,71.02690434782609,25.0,12.43707417011909,False,CAP30 final science H I cavity catalogue.,56.0,25.0,25.0,CAP30_POSTPV_0005,postpv_keep_not_DF,science_keep_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI_CAP30_0005,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0006,5.0,11.621276194788155,41.98184927645207,42.236814261952745,42.78595658712419,65.76565217391304,59.18908695652174,40.0,11.353443453898448,False,CAP30 final science H I cavity catalogue.,76.0,31.0,31.0,CAP30_POSTPV_0006,postpv_keep_not_DF,science_keep_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI_CAP30_0006,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0007,6.0,10.041545363122705,40.493331778274815,-29.00500183299894,-46.52509330351094,90.7566,90.7566,-45.0,13.337276183689081,False,CAP30 final science H I cavity catalogue.,88.0,37.0,37.0,CAP30_POSTPV_0007,postpv_keep_not_DF,science_keep_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI_CAP30_0007,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0008,7.0,10.844977222253886,41.70922740274992,7.227718074546945,26.428644164995205,78.91878260869565,78.91878260869565,45.0,12.43707417011909,False,CAP30 final science H I cavity catalogue.,108.0,43.0,43.0,CAP30_POSTPV_0008,postpv_keep_not_DF,science_keep_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI_CAP30_0008,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0010,8.0,11.268610504791337,42.03567682413096,26.332494534733936,46.01560944785774,95.36019565217391,85.82417608695653,40.0,13.671356314508843,False,CAP30 final science H I cavity catalogue.,148.0,55.0,55.0,CAP30_POSTPV_0010,postpv_keep_not_DF,science_keep_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI_CAP30_0009,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0011,9.0,11.445835812162114,41.74865723699701,34.324902166462735,28.794434219820886,90.7566,90.7566,-45.0,13.337276183689081,False,CAP30 final science H I cavity catalogue.,171.0,61.0,61.0,CAP30_POSTPV_0011,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI_CAP30_0010,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0012,10.0,11.228707413846491,41.96183396498236,24.532967292668417,41.585037898941835,102.59441739130435,102.59441739130435,-90.0,14.180446328905042,False,CAP30 final science H I cavity catalogue.,194.0,73.0,73.0,CAP30_POSTPV_0012,postpv_keep_not_DF,science_keep_strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
