Seq,label,Maj_pc,Min_pc,q_ba,PA_deg,v_center_kms,RA_deg,Dec_deg
1,CAP30_POSTPV_0002,264.0,264.0,1.0,-45.0,-128.2564728566385,11.286714549506646,41.6155540920828
2,CAP30_POSTPV_0003,220.0,220.0,1.0,-40.0,-264.3419321593875,10.99935105499478,41.31821113427335
3,CAP30_POSTPV_0004,264.0,264.0,1.0,-45.0,-132.3802746536915,11.172711370890278,41.99152844759467
4,CAP30_POSTPV_0005,264.0,237.6,0.9,25.0,-173.6182926242215,10.906838736364437,41.79024003242813
5,CAP30_POSTPV_0006,220.0,198.0,0.9,40.0,-74.6470494949495,11.621276194788155,41.98184927645207
6,CAP30_POSTPV_0007,303.6,303.6,1.0,-45.0,-536.5128507648855,10.041545363122705,40.493331778274815
7,CAP30_POSTPV_0008,264.0,264.0,1.0,45.0,-177.74209442127452,10.844977222253886,41.70922740274992
8,CAP30_POSTPV_0010,319.0,287.1,0.9,40.0,-70.5232476978965,11.268610504791337,42.03567682413096
9,CAP30_POSTPV_0011,303.6,303.6,1.0,-45.0,-124.1326710595855,11.445835812162114,41.74865723699701
10,CAP30_POSTPV_0012,343.2,343.2,1.0,-90.0,-74.6470494949495,11.228707413846491,41.96183396498236
11,CAP30_POSTPV_0013,366.85,330.165,0.9,60.0,-70.5232476978965,11.504904352199356,42.187893126036094
12,CAP30_POSTPV_0014,360.0,360.0,1.0,85.0,-70.5232476978965,11.331492709602673,42.05868212829365
13,CAP30_POSTPV_0015,264.0,211.2,0.7999999999999999,55.0,-429.2940040415075,10.292270486143844,41.12060952438198
14,CAP30_POSTPV_0016,264.0,237.6,0.9,-65.0,-429.2940040415075,10.367052554964022,40.59971021254301
15,CAP30_POSTPV_0017,345.0,276.0,0.8,45.0,-157.1230854360095,10.941582560745134,41.76752874539099
16,CAP30_POSTPV_0018,300.0,270.0,0.9,-60.0,-128.2564728566385,11.392194534274145,41.7296886691088
17,CAP30_POSTPV_0022,319.0,319.0,1.0,-90.0,-256.0943285652815,10.632962246190438,41.613212731350345
18,CAP30_POSTPV_0023,264.0,211.2,0.7999999999999999,0.0,-181.86589621832752,11.282791736209616,41.59321232099617
19,CAP30_POSTPV_0024,360.0,360.0,1.0,-90.0,-317.9513555210765,10.856027495514017,41.1046225987849
20,CAP30_POSTPV_0025,303.6,303.6,1.0,45.0,-482.9034274031965,10.522540808962422,40.974217626150576
21,CAP30_POSTPV_0028,414.0,414.0,1.0,65.0,-507.64623818551456,9.765478759763434,40.59256813660655
22,CAP30_POSTPV_0029,303.6,303.6,1.0,-40.0,-330.3227609122355,10.389336698567812,41.34645614101397
23,CAP30_POSTPV_0030,319.0,319.0,1.0,-90.0,-544.7604543589915,9.893716604391832,40.40600226080407
24,CAP30_POSTPV_0031,366.85,256.795,0.7,25.0,-532.3890489678325,9.980770826415377,40.454079428822894
25,CAP30_POSTPV_0032,300.0,300.0,1.0,-75.0,-198.36110340653948,10.833292597240112,41.72493784976035
26,CAP30_POSTPV_0033,345.0,345.0,1.0,-90.0,-132.3802746536915,10.94661356920225,41.72265467707661
27,CAP30_POSTPV_0035,303.6,212.51999999999995,0.6999999999999998,35.0,-95.2660584802145,11.228172928095487,42.05240132924401
28,CAP30_POSTPV_0037,345.0,345.0,1.0,-90.0,-557.1318597501505,9.964285426379876,40.54440446140147
29,CAP30_POSTPV_0040,414.0,372.6,0.9,10.0,-470.5320220120375,10.189090453838425,40.96479167372233
30,CAP30_POSTPV_0041,440.22,440.22,1.0,-65.0,-227.2277159859105,10.764153114946676,41.64430892473539
31,CAP30_POSTPV_0042,319.0,319.0,1.0,-90.0,-528.2652471707795,10.055699689102983,40.50313397161548
32,CAP30_POSTPV_0043,366.85,220.11,0.6,40.0,-132.3802746536915,11.414396512130647,41.75080308647209
33,CAP30_POSTPV_0044,366.85,330.165,0.9,-80.0,-202.4849052035925,10.827809417271736,41.686054645874286
34,CAP30_POSTPV_0045,366.85,256.795,0.7,25.0,-132.3802746536915,11.129075571320714,41.924474507606575
35,CAP30_POSTPV_0046,440.22,396.198,0.8999999999999999,-45.0,-528.2652471707795,9.952299163822689,40.36986014344856
36,CAP30_POSTPV_0048,390.0,234.0,0.6,85.0,-280.83713934759953,10.960040916428872,41.20553300477521
37,CAP30_POSTPV_0049,414.0,414.0,1.0,-90.0,-342.6941663033945,10.79926629277091,41.00469213837174
38,CAP30_POSTPV_0054,414.0,414.0,1.0,-90.0,-120.0088692625325,11.48187047025522,42.3086303815201
39,CAP30_POSTPV_0055,420.0,420.0,1.0,-90.0,-173.6182926242215,11.303116744654169,41.54352062062996
40,CAP30_POSTPV_0059,373.23,298.584,0.7999999999999999,45.0,-466.40822021498445,10.160696504931703,40.97327719968867
41,CAP30_POSTPV_0061,345.0,345.0,1.0,-90.0,-54.0280405096845,11.447091886370004,41.94811152914709
42,CAP30_POSTPV_0062,360.0,324.0,0.9,-75.0,-194.2373016094865,11.009467360885193,42.04446195598249
43,CAP30_POSTPV_0063,414.0,414.0,1.0,-90.0,-511.7700399825675,10.16523244066476,40.55910691884246
44,CAP30_POSTPV_0064,540.0,486.0,0.9,-30.0,-206.6087070006455,10.804401657810963,41.69983146199895
45,CAP30_POSTPV_0068,500.25,250.125,0.5,10.0,-322.0751573181295,10.50351246133604,41.33696910123225
46,CAP30_POSTPV_0070,574.2,516.7800000000001,0.9000000000000001,-30.0,-297.3323465358115,10.39748693107298,41.42800507041717
47,CAP30_POSTPV_0072,420.0,420.0,1.0,-90.0,-148.87548184190348,11.289458813394807,42.16294852921433
48,CAP30_POSTPV_0073,483.0,483.0,1.0,-90.0,-540.6366525619385,9.978828681585837,40.51726984321777
49,CAP30_POSTPV_0074,420.0,420.0,1.0,-90.0,-132.3802746536915,11.455427780999178,42.327282936016736
50,CAP30_POSTPV_0075,483.0,483.0,1.0,-90.0,-214.8563105947515,10.89787807611734,41.952349601928425
51,CAP30_POSTPV_0076,420.0,378.0,0.9,45.0,-478.7796256061435,9.166607529870292,40.17579732295671
52,CAP30_POSTPV_0079,435.0,435.0,1.0,-90.0,-289.0847429417055,10.423492534126629,41.36403841475924
53,CAP30_POSTPV_0080,345.0,345.0,1.0,-90.0,-581.8746705324686,10.09961301988062,40.74547163214695
54,CAP30_POSTPV_0081,420.0,378.0,0.9,45.0,-367.4369770857125,10.743992238793105,40.936538449352255
55,CAP30_POSTPV_0083,420.0,420.0,1.0,-90.0,-495.2748327943555,9.421726512351407,39.80253540214014
56,CAP30_POSTPV_0084,462.55,277.53,0.6,-5.0,-569.5032651413095,10.094268275124584,40.60390556631595
57,CAP30_POSTPV_0086,531.9325,425.5460000000001,0.8000000000000002,70.0,-165.3706890301155,11.032944929322658,41.85743513815376
58,CAP30_POSTPV_0087,720.0,576.0,0.8,-90.0,-227.2277159859105,10.78484377954699,41.68318279506381
59,CAP30_POSTPV_0090,483.0,434.69999999999993,0.8999999999999999,45.0,-276.7133375505465,10.582080919833086,41.601095339277904
60,CAP30_POSTPV_0092,579.5999999999999,289.79999999999995,0.5,60.0,-367.4369770857125,10.720350107504384,41.07543858948487
61,CAP30_POSTPV_0093,579.5999999999999,347.75999999999993,0.6,10.0,-482.9034274031965,10.360696772236423,40.7408122068609
62,CAP30_POSTPV_0097,690.0,690.0,1.0,-90.0,-388.0559860709775,10.350332553879516,41.15968183123789
63,CAP30_POSTPV_0098,604.8,483.84,0.8,-90.0,-247.84672497117552,10.617227033555302,41.737791176817154
64,CAP30_POSTPV_0099,600.0,600.0,1.0,15.0,-412.7987968532954,10.512792753494908,40.76141993440125
65,CAP30_POSTPV_0100,600.0,600.0,1.0,15.0,-507.64623818551456,9.36723944948888,40.00324326700834
66,CAP30_POSTPV_0101,720.0,720.0,1.0,-90.0,-404.5511932591895,10.59659692910654,40.75762596114655
67,CAP30_POSTPV_0105,720.0,504.0,0.7,0.0,-124.1326710595855,11.625421448634691,41.8955549558
68,CAP30_POSTPV_0106,720.0,720.0,1.0,-90.0,-499.3986345914085,10.110274322665536,40.48689184932957
69,CAP30_POSTPV_0108,420.0,420.0,1.0,-90.0,-330.3227609122355,10.45703720447792,41.29702567959018
70,CAP30_POSTPV_0112,319.0,287.1,0.9,25.0,-482.9034274031965,9.376563476420811,40.31066579083112
71,CAP30_POSTPV_0114,483.0,483.0,1.0,-90.0,-573.6270669383625,10.16937853520493,40.85081188009418
72,CAP30_POSTPV_0115,600.0,540.0,0.9,-15.0,-120.0088692625325,11.105368981985176,41.89636577432128
73,CAP30_POSTPV_0118,690.0,690.0,1.0,-90.0,-115.8850674654795,11.374820353246731,42.17220066183149
74,CAP30_POSTPV_0137,690.3449999999999,552.276,0.8,15.0,-268.4657339564405,11.026819901596856,41.337161099159154
75,CAP30_POSTPV_0140,288.0,288.0,1.0,-90.0,-305.5799501299175,10.415431051430108,41.299714026725766
76,CAP30_POSTPV_0141,365.4,292.32,0.8,-60.0,-260.21813036233453,10.602657039453511,41.63277897557995
77,CAP30_POSTPV_0142,360.0,360.0,1.0,-90.0,-177.74209442127452,10.876193626395503,41.69598538512465
78,CAP30_POSTPV_0143,478.5,478.5,1.0,-25.0,-297.3323465358115,10.909897628292264,41.27953080658936
79,CAP30_POSTPV_0146,462.55,370.04,0.8,-20.0,-157.1230854360095,10.999155772237128,41.85003067490482
80,CAP30_POSTPV_0156,476.905,238.4525,0.5,50.0,-264.3419321593875,11.009406848757555,41.25790514287605
