object_id,catalog,n_xray_R1,n_xray_R2,n_xray_R3,nearest_xray_label,nearest_xray_sep_arcsec,nearest_xray_flux_erg_cm2_s,nearest_xray_class
BB86_001,BB86,1,3,4,XMM 0406,26.27965052921912,8.74e-16,<fg Star>
BB86_002,BB86,1,2,4,XMM 0342,8.71380664542606,5.36e-15,<SSS>
BB86_003,BB86,0,1,5,XMM 0522,38.19716823463417,1.69e-14,<hard>
BB86_004,BB86,0,0,1,XMM 0448,59.80783998648179,2.18e-14,<hard>
BB86_005,BB86,0,1,3,XMM 0422,85.58977482511882,2.01e-14,<hard>
BB86_006,BB86,2,7,15,XMM 0412,56.864916233826094,1.86e-14,AGN
BB86_007,BB86,0,1,2,XMM 0179,67.53953889735058,1.2e-14,<hard>
BB86_008,BB86,1,4,9,XMM 0533,84.39185101164928,7.89e-15,<GlC>
BB86_009,BB86,0,0,0,,,,
BB86_010,BB86,0,0,1,XMM 0560,137.95910594340828,5.14e-15,<SNR>
BB86_011,BB86,0,5,6,XMM 0188,44.85070136647496,1.84e-14,<fg Star>
BB86_012,BB86,0,0,0,,,,
BB86_013,BB86,0,0,0,,,,
BB86_014,BB86,0,0,0,,,,
BB86_015,BB86,0,0,2,XMM 0225,69.80071998267174,4.82e-15,<hard>
BB86_016,BB86,1,4,13,XMM 0404,64.81504893127276,1.77e-14,<hard>
BB86_017,BB86,1,2,5,XMM 0256,59.358728605532754,1.66e-15,
BB86_018,BB86,0,0,1,XMM 0528,106.19397822780206,4.52e-15,<fg Star>
BB86_019,BB86,0,2,5,XMM 0598,118.404714103383,8.21e-15,<hard>
BB86_020,BB86,0,3,5,XMM 0649,113.51097936902967,5.93e-15,<hard>
BB86_021,BB86,0,0,0,,,,
BB86_022,BB86,0,0,0,,,,
BB86_023,BB86,1,2,3,XMM 0267,8.447993654691189,1.14e-15,<fg Star>
BB86_024,BB86,1,8,11,XMM 0453,63.85319051849125,2.48e-15,<fg Star>
BB86_025,BB86,1,2,4,XMM 0680,51.91929885930377,4.88e-15,<hard>
BB86_026,BB86,0,0,3,XMM 0453,68.37567676573916,2.48e-15,<fg Star>
BB86_027,BB86,0,0,1,XMM 0270,64.01060502361075,5.95e-15,<hard>
BB86_028,BB86,0,0,0,,,,
BB86_029,BB86,0,0,0,,,,
BB86_030,BB86,0,0,0,,,,
BB86_031,BB86,0,0,0,,,,
BB86_032,BB86,0,0,0,,,,
BB86_033,BB86,0,0,0,,,,
BB86_034,BB86,1,1,2,XMM 0741,41.853309826428294,6.52e-15,<hard>
BB86_035,BB86,0,0,1,XMM 0846,57.422250446583455,8.57e-15,<hard>
BB86_036,BB86,0,2,3,XMM 0937,61.774187657100676,2.08e-15,<hard>
BB86_037,BB86,0,0,1,XMM 0566,36.627591825186954,7.84e-15,<hard>
BB86_038,BB86,0,0,0,,,,
BB86_039,BB86,0,1,3,XMM 0606,30.493804706859677,4.51e-15,<hard>
BB86_040,BB86,0,4,9,XMM 1003,60.09882561077668,1.9e-15,<hard>
BB86_041,BB86,1,1,3,XMM 0604,15.337419533396975,5.73e-15,<hard>
BB86_042,BB86,0,0,0,,,,
BB86_043,BB86,0,2,2,XMM 1085,63.331046264161444,2.43e-15,<hard>
BB86_044,BB86,0,1,1,XMM 1053,13.800463256497682,3.71e-15,<fg Star>
BB86_045,BB86,3,6,16,XMM 1148,78.6543872812872,2.31e-15,<SNR>
BB86_046,BB86,0,10,22,XMM 1242,86.42658203383664,9.52e-15,<SSS>
BB86_047,BB86,0,3,5,XMM 0639,66.8391184748425,4.97e-15,<hard>
BB86_048,BB86,0,0,3,XMM 1183,84.85195208782379,3.8e-14,<hard>
BB86_049,BB86,0,0,1,XMM 0715,75.66638252805501,6.39e-15,<AGN>
BB86_050,BB86,0,0,0,,,,
BB86_051,BB86,1,3,4,XMM 0661,22.439405269436893,6.56e-15,<hard>
BB86_052,BB86,3,9,14,XMM 0677,16.77713345737941,3.96e-15,
BB86_053,BB86,1,2,5,XMM 1238,4.649515827555869,3.44e-13,<hard>
BB86_054,BB86,3,9,27,XMM 1240,40.63160280518517,5.38e-15,<hard>
BB86_055,BB86,1,1,2,XMM 0803,15.316115437769364,4.37e-15,fg Star
BB86_056,BB86,0,0,1,XMM 1253,41.121742476367785,2.5e-13,<hard>
BB86_057,BB86,0,2,2,XMM 1285,28.52728218257897,6.62e-15,<fg Star>
BB86_058,BB86,0,1,1,XMM 0722,27.139207984186644,6.21e-15,<hard>
BB86_059,BB86,0,0,1,XMM 1261,51.76316137253942,2.03e-13,<hard>
BB86_060,BB86,2,7,13,XMM 0884,29.62518287905935,1.5e-14,<XRB>
BB86_061,BB86,0,1,5,XMM 1267,66.90110426586978,4.8e-13,GlC
BB86_062,BB86,0,11,14,XMM 1325,104.57716737688203,3.78e-15,<SSS>
BB86_063,BB86,0,2,9,XMM 1355,66.79541401429576,1.54e-15,<SSS>
BB86_064,BB86,0,0,0,,,,
BB86_065,BB86,0,0,0,,,,
BB86_066,BB86,2,4,8,XMM 1388,20.208635146820754,5.87e-15,<fg Star>
BB86_067,BB86,0,0,1,XMM 0900,67.53396022146617,2.29e-15,<hard>
BB86_068,BB86,0,2,4,XMM 0918,37.845946173704824,4.31e-15,<hard>
BB86_069,BB86,6,21,58,XMM 0918,37.845946173704824,4.31e-15,<hard>
BB86_070,BB86,0,0,0,,,,
BB86_071,BB86,1,3,9,XMM 1416,58.53959726863102,8.55e-14,<SSS>
BB86_072,BB86,0,0,0,,,,
BB86_073,BB86,0,0,0,,,,
BB86_074,BB86,1,1,3,XMM 1121,14.895316998498588,9.36e-15,<hard>
BB86_075,BB86,0,0,2,XMM 1123,34.2039446172471,1.1e-14,<AGN>
BB86_076,BB86,1,3,4,XMM 1497,27.879943204114667,4.36e-15,SNR
BB86_077,BB86,0,0,2,XMM 1497,72.68105971501726,4.36e-15,SNR
BB86_078,BB86,0,0,1,XMM 1127,92.47668382219807,2.38e-15,<fg Star>
BB86_079,BB86,0,0,0,,,,
BB86_080,BB86,2,2,3,XMM 1185,33.886145465951216,8.63e-15,<hard>
BB86_081,BB86,0,1,1,XMM 1080,52.07433498626891,9.34e-15,<hard>
BB86_082,BB86,1,3,7,XMM 1166,57.21257840440718,2.16e-15,<hard>
BB86_083,BB86,0,0,0,,,,
BB86_084,BB86,0,0,0,,,,
BB86_085,BB86,0,1,1,XMM 1244,32.27330974019572,5e-15,<hard>
BB86_086,BB86,0,0,0,,,,
BB86_087,BB86,0,1,2,XMM 1535,73.12494022684749,1.47e-14,SNR
BB86_088,BB86,0,0,0,,,,
BB86_089,BB86,0,0,0,,,,
BB86_090,BB86,1,3,3,XMM 1451,27.842849295890257,2.23e-15,<hard>
BB86_091,BB86,0,0,2,XMM 1535,154.92845562859637,1.47e-14,SNR
BB86_092,BB86,0,0,0,,,,
BB86_093,BB86,0,0,0,,,,
BB86_094,BB86,0,0,0,,,,
BB86_095,BB86,0,0,0,,,,
BB86_096,BB86,0,0,0,,,,
BB86_097,BB86,0,0,0,,,,
BB86_098,BB86,0,1,4,XMM 1104,122.207634555283,1.2e-14,<hard>
BB86_099,BB86,0,1,2,XMM 1587,48.09474957788533,2.47e-15,SNR
BB86_100,BB86,0,0,2,XMM 1547,60.42062188689881,5.59e-14,<AGN>
BB86_101,BB86,0,0,0,,,,
BB86_102,BB86,1,2,3,XMM 1286,11.50217557617694,1.68e-15,
BB86_103,BB86,0,0,3,XMM 1286,136.0989004668119,1.68e-15,
BB86_104,BB86,0,0,0,,,,
BB86_105,BB86,0,0,0,,,,
BB86_106,BB86,1,3,8,XMM 1200,34.98506626231652,3.48e-15,
BB86_107,BB86,0,1,1,XMM 1557,98.07321489863736,9.74e-16,
BB86_108,BB86,0,0,1,XMM 1307,33.1593001274086,7.55e-15,<hard>
BB86_109,BB86,0,0,0,,,,
BB86_110,BB86,0,0,0,,,,
BB86_111,BB86,0,0,1,XMM 1159,71.2908603902531,4.53e-15,<hard>
BB86_112,BB86,0,0,0,,,,
BB86_113,BB86,0,0,1,XMM 1599,46.977668649405345,1.61e-14,SNR
BB86_114,BB86,6,12,19,XMM 1215,23.413113344101347,3.03e-15,<hard>
BB86_115,BB86,0,2,5,XMM 1599,87.90319942231262,1.61e-14,SNR
BB86_116,BB86,0,0,2,XMM 1590,61.61116019510609,9.44e-15,<hard>
BB86_117,BB86,0,0,0,,,,
BB86_118,BB86,0,1,1,XMM 1404,39.96894576596567,5.2e-15,<hard>
BB86_119,BB86,1,1,1,XMM 1426,11.8231744026281,9.43e-15,<fg Star>
BB86_120,BB86,0,2,8,XMM 1306,96.60411565131017,4.51e-15,<hard>
BB86_121,BB86,0,2,4,XMM 1624,41.11666136771569,2.06e-14,<hard>
BB86_122,BB86,0,0,0,,,,
BB86_123,BB86,0,0,3,XMM 1624,69.83939029323416,2.06e-14,<hard>
BB86_124,BB86,1,1,2,XMM 1354,6.838790469280418,2.6e-14,<AGN>
BB86_125,BB86,0,0,2,XMM 1306,67.29570071230863,4.51e-15,<hard>
BB86_126,BB86,0,0,0,,,,
BB86_127,BB86,1,2,2,XMM 1685,27.9411795692499,1.04e-14,<hard>
BB86_128,BB86,0,0,0,,,,
BB86_129,BB86,0,0,0,,,,
BB86_130,BB86,4,13,19,XMM 1549,13.416631705417561,2.48e-15,<hard>
BB86_131,BB86,0,0,0,,,,
BB86_132,BB86,1,4,9,XMM 1620,62.488858926171964,8.21e-15,<hard>
BB86_133,BB86,0,0,1,XMM 1442,61.607043792828115,1.1e-14,fg Star
BB86_134,BB86,0,0,0,,,,
BB86_135,BB86,0,0,0,,,,
BB86_136,BB86,0,2,3,XMM 1429,44.71378351378428,2.12e-15,<fg Star>
BB86_137,BB86,0,0,0,,,,
BB86_138,BB86,0,1,2,XMM 1673,43.6265338366222,1.55e-15,<fg Star>
BB86_139,BB86,1,2,4,XMM 1630,45.41851477693733,6.8e-15,<hard>
BB86_140,BB86,0,0,0,,,,
BB86_141,BB86,0,1,1,XMM 1632,41.05779334120678,7.42e-15,<hard>
NEW247_v11_best_0001,NEW247,1,2,10,XMM 1042,33.819632176117366,5.02e-15,<hard>
NEW247_v11_best_0002,NEW247,0,0,2,XMM 0418,76.41628499157426,5.88e-15,<hard>
NEW247_v11_best_0003,NEW247,1,1,3,XMM 1463,33.48012333822703,7.51e-13,GlC
NEW247_v11_best_0004,NEW247,1,2,2,XMM 1365,25.268793422260437,7.16e-15,<hard>
NEW247_v11_best_0005,NEW247,0,1,3,XMM 1249,59.33617281534449,1.23e-14,<hard>
NEW247_v11_best_0006,NEW247,1,4,4,XMM 1481,6.58966487513036,3.43e-15,<SNR>
NEW247_v11_best_0007,NEW247,0,0,2,XMM 0281,152.05808344996078,6.7e-15,<hard>
NEW247_v11_best_0008,NEW247,0,3,6,XMM 1378,69.35112977128338,1.28e-14,<hard>
NEW247_v11_best_0009,NEW247,1,1,2,XMM 1087,33.78517941870355,2.69e-15,<SSS>
NEW247_v11_best_0010,NEW247,1,1,5,XMM 1087,51.463125272429856,2.69e-15,<SSS>
NEW247_v11_best_0011,NEW247,1,3,6,XMM 0937,47.087494812335464,2.08e-15,<hard>
NEW247_v11_best_0012,NEW247,0,0,2,XMM 0325,99.87732999013949,5.9e-15,<fg Star>
NEW247_v11_best_0013,NEW247,1,6,9,XMM 0122,41.17097779601148,1.47e-15,<hard>
NEW247_v11_best_0014,NEW247,2,5,7,XMM 0308,15.320832568248331,1.66e-14,<hard>
NEW247_v11_best_0015,NEW247,2,4,8,XMM 1165,23.705388584092987,8.03e-15,<hard>
NEW247_v11_best_0016,NEW247,1,5,9,XMM 0369,52.47807152884671,5.82e-14,<hard>
NEW247_v11_best_0017,NEW247,1,3,6,XMM 0645,53.397070690365155,1.99e-15,<fg Star>
