Seq,bb86_Maj_pc,bb86_Min_pc,bb86_PA_astro_deg,bb86_v_center_kms,joint_Maj_pc,joint_Min_pc,joint_PA_astro_deg,joint_v_center_kms,joint_status,joint_pa_mode,joint_nch_used,joint_source_status,cg2d_Maj_pc,cg2d_Min_pc,cg2d_PA_astro_deg,cg2d_v_center_kms,cg2d_source_status,Maj_pc,Min_pc,PA_astro_deg,v_center_kms,geometry_source,axes_swapped_for_hist,axis_ratio,geom_mean_size_pc,area_ellipse_pc2,PA_mod_180_deg
1,200.0,380.0,0.0,-506.8,570.6666666666666,300.35087719298247,5.0,-506.8,refit_recommended,pa-90,2,joint_contrast_refit,280.30985915492954,274.70366197183097,,-506.8,CumulativeGrowth2D,280.30985915492954,274.70366197183097,5.0,-506.8,CumulativeGrowth2D,False,0.9800000000000001,277.4926031386554,60477.343100966886,5.0
2,140.0,320.0,156.0,-552.1,320.0,140.00001750000217,31.0,-552.1,refit_recommended,pa-90,2,joint_contrast_refit,190.41971830985915,186.611323943662,,-552.1,CumulativeGrowth2D,190.41971830985915,186.611323943662,31.0,-552.1,CumulativeGrowth2D,False,0.9800000000000002,188.50590372394706,27908.71198253056,31.0
3,200.0,280.0,0.0,-486.2,304.30552569311567,217.36108978079693,0.0,-486.2,refit_recommended,pa-90,2,joint_contrast_refit,356.90555813110586,349.76744696848374,,-486.2,CumulativeGrowth2D,356.90555813110586,349.76744696848374,0.0,-486.2,CumulativeGrowth2D,False,0.98,353.31847655674426,98044.35182096426,0.0
4,140.0,160.0,0.0,-477.9,160.48011180346745,140.42011538054845,80.0,-477.9,refit_recommended,pa-90,2,joint_contrast_refit,196.2169014084507,192.29256338028168,,-477.9,CumulativeGrowth2D,196.2169014084507,192.29256338028168,80.0,-477.9,CumulativeGrowth2D,False,0.98,194.2448221970588,29633.898119473775,80.0
5,220.0,480.0,0.0,-560.4,421.3333333333333,234.699417633502,0.0,-560.4,refit_recommended,pa-90,2,joint_contrast_refit,281.01126760563375,275.3910422535211,,-560.4,CumulativeGrowth2D,281.01126760563375,275.3910422535211,0.0,-560.4,CumulativeGrowth2D,False,0.9800000000000001,278.18696207927974,60780.38197203145,0.0
6,620.0,640.0,90.0,-572.8,640.0,620.0000387500024,-90.0,-572.8,refit_recommended,pa-90,2,joint_contrast_refit,843.2873239436619,826.4215774647886,,-572.8,CumulativeGrowth2D,843.2873239436619,826.4215774647886,-90.0,-572.8,CumulativeGrowth2D,False,0.9799999999999999,834.8118593489082,547352.4941879972,90.0
7,240.0,380.0,0.0,-457.3,306.66666666666663,193.6842513019476,0.0,-457.3,refit_recommended,pa-90,2,joint_contrast_refit,271.774647887324,266.33915492957755,,-457.3,CumulativeGrowth2D,271.774647887324,266.33915492957755,0.0,-457.3,CumulativeGrowth2D,False,0.98,269.04317506599824,56850.441339889025,0.0
8,660.0,680.0,90.0,-519.2,680.0,660.0000194117653,-90.0,-519.2,refit_recommended,pa-90,1,joint_contrast_refit,802.0394366197182,785.9986478873238,,-519.2,CumulativeGrowth2D,802.0394366197182,785.9986478873238,-90.0,-519.2,CumulativeGrowth2D,False,0.98,793.9785341779773,495116.50446462905,90.0
9,0.0,80.0,0.0,-477.9,197.63885902644896,197.63885902644896,0.0,-477.9,refit_recommended,pa-90,2,joint_contrast_refit,383.0220346895828,134.057712141354,,-477.9,CumulativeGrowth2D,383.0220346895828,134.057712141354,0.0,-477.9,CumulativeGrowth2D,False,0.35,226.59889159087209,40327.8847900472,0.0
10,420.0,440.0,90.0,-465.6,425.3333333333333,406.0000184545463,-90.0,-465.6,refit_recommended,pa-90,2,joint_contrast_refit,579.9549295774647,568.3558309859154,,-465.6,CumulativeGrowth2D,579.9549295774647,568.3558309859154,-90.0,-465.6,CumulativeGrowth2D,False,0.9800000000000001,574.1260888815086,258883.54418252065,90.0
11,240.0,420.0,0.0,-449.1,420.0,240.0,0.0,-449.1,refit_recommended,pa-90,2,joint_contrast_refit,373.5813572343149,366.10973008962856,,-449.1,CumulativeGrowth2D,373.5813572343149,366.10973008962856,0.0,-449.1,CumulativeGrowth2D,False,0.9799999999999999,369.8266754353614,107420.29685546801,0.0
12,40.0,140.0,148.0,-576.9,183.08130867875215,52.30894533678634,-42.0,-576.9,refit_recommended,pa-90,2,joint_contrast_refit,619.5747248834297,563.2497498940269,,-576.9,CumulativeGrowth2D,619.5747248834297,563.2497498940269,-42.0,-576.9,CumulativeGrowth2D,False,0.909090909090909,590.7413214184803,274084.5666271228,138.0
13,100.0,260.0,149.0,-465.6,253.7043288178309,97.57858800685804,69.0,-465.6,refit_recommended,pa-90,2,joint_contrast_refit,136.01408450704224,133.2938028169014,,-465.6,CumulativeGrowth2D,136.01408450704224,133.2938028169014,69.0,-465.6,CumulativeGrowth2D,False,0.9800000000000001,134.64707408853357,14239.138766597222,69.0
