seq,object_id,RA_deg,Dec_deg,Maj_pc,Min_pc,PA_astro_deg,PA_plot_deg,v_center_kms,nch,geometry_source,hi_ch0,hi_ch1,hi_vlo_kms,hi_vhi_kms,hi_nchan,co_ch0,co_ch1,co_nchan,co_vlo_kms,co_vhi_kms,png,pdf,n_sitelle_ok
72,BB86_072,10.73333333333333,41.61277777777778,262.490504071056,96.2465181593872,-35.0,55.0,-214.8563105947515,3,CumulativeGrowth2D,64,66,-216.918211493278,-208.670607899172,3,87,94,8,-223.8632564544655,-205.65795326232652,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_072_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_072_multitracer_zoom_v2.pdf,1
73,BB86_073,10.718749999999998,41.65055555555556,212.2158157557971,126.18426628948812,0.0,-90.0,-226.5,3,CumulativeGrowth2D,67,69,-229.28961688443698,-221.042013290331,3,92,99,8,-236.8670444488505,-218.6617412567115,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_073_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_073_multitracer_zoom_v2.pdf,1
74,BB86_074,10.763333333333334,41.625277777777775,233.8188401854772,229.1424633817676,30.0,-60.0,-218.2,3,CumulativeGrowth2D,65,67,-221.042013290331,-212.79440969622502,3,88,95,8,-226.4640140533425,-208.2587108612035,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_074_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_074_multitracer_zoom_v2.pdf,1
75,BB86_075,10.755833333333332,41.64194444444444,350.1111121943267,177.74871849865815,-55.0,35.0,-227.2277159859105,3,CumulativeGrowth2D,67,69,-229.28961688443698,-221.042013290331,3,92,99,8,-236.8670444488505,-218.6617412567115,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_075_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_075_multitracer_zoom_v2.pdf,1
78,BB86_078,10.748749999999998,41.69194444444444,292.5461042298002,118.1436224779652,-72.0,18.0,-210.0,3,CumulativeGrowth2D,63,65,-212.79440969622502,-204.546806102119,3,85,92,8,-218.6617412567115,-200.4564380645725,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_078_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_078_multitracer_zoom_v2.pdf,1
80,BB86_080,10.827083333333333,41.6625,307.4929577464788,235.1417288983024,-10.0,80.0,-193.5,3,CumulativeGrowth2D,59,61,-196.299202508013,-188.051598913907,3,79,86,8,-203.0571956634495,-184.85189247131052,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_080_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_080_multitracer_zoom_v2.pdf,1
82,BB86_082,10.7975,41.69166666666666,543.8028169014084,444.9296583610903,75.0,-15.0,-218.98011239180448,3,CumulativeGrowth2D,65,67,-221.042013290331,-212.79440969622502,3,89,96,8,-229.0647716522195,-210.8594684600805,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_082_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_082_multitracer_zoom_v2.pdf,1
83,BB86_083,10.8575,41.6625,381.30939582763847,381.30939582763847,0.0,-90.0,-214.1,2,CumulativeGrowth2D,65,66,-216.918211493278,-212.79440969622502,2,87,94,8,-223.8632564544655,-205.65795326232652,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_083_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_083_multitracer_zoom_v2.pdf,2
85,BB86_085,10.86875,41.68305555555556,290.4547405521451,232.36379244171613,-70.0,20.0,-223.10391418885752,3,CumulativeGrowth2D,66,68,-225.16581508738403,-216.918211493278,3,90,97,8,-231.6655292510965,-213.46022605895752,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_085_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_085_multitracer_zoom_v2.pdf,2
86,BB86_086,10.8725,41.70388888888889,375.8737966387795,248.8242948157961,29.0,-61.0,-197.6,3,CumulativeGrowth2D,60,62,-200.423004305066,-192.17540071096002,3,80,87,8,-205.65795326232652,-187.4526500701875,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_086_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_086_multitracer_zoom_v2.pdf,2
88,BB86_088,10.865,41.71222222222222,250.7424770072374,87.75986695253309,75.0,-15.0,-201.8,3,CumulativeGrowth2D,61,63,-204.546806102119,-196.299202508013,3,82,89,8,-210.8594684600805,-192.65416526794152,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_088_multitracer_zoom_v2.png,/johannes/afcosmoj/khue/HolesHI/outputs/figures/final/multitracer/bb86_zoom_v2/BB86_088_multitracer_zoom_v2.pdf,2
