sample,column,N,min,p16,median,mean,p84,max
all,Maj_pc,247,220.0,264.0,319.0,346.7536437246964,420.0,604.8
all,Min_pc,247,184.8,250.8,287.1,319.9512753036438,420.0,604.8
all,geom_mean_size_pc,247,208.71032557111303,264.0,302.6299720781139,332.655170566805,420.0,604.8
all,axis_ratio,247,0.6,0.8,0.95,0.9190283400809717,1.0,1.0
all,area_ellipse_pc2,247,34211.94399759285,54739.11039614856,71930.61225493897,91669.51851111387,138544.23602330987,287285.3278179353
all,PA_mod_180_deg,247,0.0,45.0,90.0,87.5506072874494,135.0,175.0
all,v_center_kms,247,-590.1222741265744,-518.5330749297344,-301.4561483328645,-304.82865020737745,-100.87442892420664,-37.5328333214725
all,v9_final_score,247,0.1045892445189516,0.12371981901907111,0.8047069649231251,0.6543313716419318,0.844680402187426,0.9454408735891768
all,v9_delta_bic_cavity,247,1378.1322989753971,17704.155525302216,56745.71205372362,69900.41515887526,113196.50107246584,309307.6871821082
all,v9_cavity_amp_sn,247,37.22094071561009,133.08405932846642,238.2294516075202,242.29344216532755,336.4581849179844,556.1621497424003
all,v9_deficit_peak_r_ell,247,1.2089909342434926e-13,0.08300253016409052,0.1763081137947471,0.2001611644185382,0.3250960986626038,0.973494288318172
all,v9_gradient_to_core_ratio,247,0.0454389871136545,0.5593761282672441,1.0401706328393083,1.2518656963362471,1.665468510126178,8.479993334611612
all,v9_pv_major_deficit_sn,247,-16.42542336915944,0.620850599490011,4.618642675470095,5.204225040035942,10.35888352911467,20.40914741911088
all,v9_pv_minor_deficit_sn,247,-11.335522129738896,0.2126429332719497,4.105099983381196,4.397255622800219,9.54626761287291,20.84190939760764
