population,metric,label,n,median,mean,std,min,max
kept72,cg2d_detection_score,2DCG detection score,72,0.45163099313542876,0.4555053173226329,0.10279697286550112,0.24299065276063,0.6600509057615253
kept72,cg2d_beam_fraction_deficit,2DCG beam-fraction deficit,72,0.3374879568808936,0.34717783997743656,0.13457839734205593,0.1288798322811744,0.6569694016257004
kept72,joint_2dcg_score,joint 2DCG score,72,0.00957700386588295,0.020488046972738358,0.029089424112128982,0.0001538970328925,0.1179338584942964
kept72,v9_final_score,v9 final score,72,0.8475295368397819,0.8484004213033984,0.03616347186240595,0.755273545287454,0.9454408735891768
kept72,v9_cavity_amp_sn,v9 cavity amplitude S/N,72,267.60795508499814,276.65360639852884,90.0447068135888,78.9167456160976,554.9749290504161
kept72,v9_core_median_deficit_sn,v9 core median deficit S/N,72,20.03493423300226,20.145532694399616,4.734114886121986,4.3169957383199735,36.603910032110726
potential175,cg2d_detection_score,2DCG detection score,175,0.4455779102173661,0.4422827335520377,0.08937827040949081,0.2404171098656456,0.7208400698932079
potential175,cg2d_beam_fraction_deficit,2DCG beam-fraction deficit,175,0.3335608549825236,0.3343004564077835,0.11678219501807845,0.1235003516062162,0.804180763699244
potential175,joint_2dcg_score,joint 2DCG score,175,0.0087908678519682,0.015548723746015273,0.02393079097641899,0.0001422524762379,0.2458437401249165
potential175,v9_final_score,v9 final score,175,0.7730398511565525,0.5744858197812139,0.31773698543509576,0.1045892445189516,0.8480757230143087
potential175,v9_cavity_amp_sn,v9 cavity amplitude S/N,175,220.2821788011617,228.1566888808105,109.10216647227399,37.22094071561009,556.1621497424003
potential175,v9_core_median_deficit_sn,v9 core median deficit S/N,175,16.613134819704122,16.379721913212617,6.196736516977692,2.4959756536386246,38.58980669138769
