v9_reject_reason,N
background_gradient_dominates,104
foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,37
foreground_confusion_velocity;low_v9_final_score,16
background_gradient_dominates;diffuse_growth_tail,4
foreground_confusion_velocity;near_mask_edge;background_gradient_dominates;low_v9_final_score,3
off_center_deficit_peak;background_gradient_dominates;diffuse_growth_tail,2
diffuse_growth_tail,2
near_mask_edge;background_gradient_dominates,2
off_center_deficit_peak;background_gradient_dominates,2
foreground_confusion_velocity;background_gradient_dominates;diffuse_growth_tail;low_v9_final_score,1
low_inner_valid_fraction;near_mask_edge;background_gradient_dominates,1
near_mask_edge,1
